A
threads,ms
1,1067
1,1092
1,955
1,1323
1,1198
1,1170
1,1107
1,1155
1,1251
1,938
2,785
2,808
2,816
2,909
2,839
2,865
2,860
2,869
2,881
2,867
4,859
4,833
4,818
4,856
4,881
4,876
4,804
4,818
4,865
4,853
8,866
8,857
8,873
8,843
8,912
8,833
8,889
8,849
8,882
8,858

B
threads,ms
1,1604
1,1710
1,1539
1,1618
1,1613
1,1549
1,1616
1,1663
1,1673
1,1663
2,1163
2,1315
2,1426
2,1298
2,1299
2,1287
2,1306
2,1342
2,1366
2,1365
4,1098
4,1045
4,1073
4,1042
4,1047
4,1058
4,1015
4,1085
4,1034
4,1089
8,1028
8,1057
8,1024
8,1026
8,1014
8,997
8,1008
8,981
8,990
8,963
