threads,ms
1,1411
1,1186
1,1147
1,1201
1,1110
1,1161
1,1143
1,1104
1,1137
1,1135
2,900
2,915
2,897
2,920
2,913
2,890
2,893
2,920
2,885
2,907
4,608
4,633
4,607
4,564
4,638
4,622
4,638
4,637
4,583
4,627
8,459
8,467
8,447
8,468
8,449
8,473
8,463
8,453
8,482
8,480
16,440
16,415
16,435
16,435
16,446
16,466
16,435
16,407
16,440
16,415
24,420
24,422
24,426
24,452
24,420
24,419
24,423
24,418
24,432
24,445
32,442
32,474
32,421
32,429
32,440
32,446
32,439
32,418
32,422
32,427
64,450
64,425
64,444
64,458
64,453
64,448
64,452
64,430
64,453
64,472
