tuples,threads,speedup
1,8,1.3850590949111725
1,24,1.312886577835554
3,8,2.62355940179753
3,24,3.376255551273383
7,8,2.780546149758008
7,24,3.2651671783399108
15,8,2.948567559203409
15,24,3.1393025620749153
23,8,3.2527618015057262
23,24,3.495578234144101
39,8,3.1789783482055443
39,24,3.2294080078666227
59,8,3.347731501644576
59,24,3.312326617406521
79,8,3.2613034212270735
79,24,3.2284431038086097
119,8,3.1416162464734207
119,24,3.1077989410126086
159,8,2.754168632039297
159,24,2.7023247881465813
